topic_id,topic_title,messages,active_people,replies
2.0,Кладовки,7415,107,4972
91.0,АВИТО: магия расхламления,2671,73,2069
158.0,"Знакомства, болталка, общение",1995,107,1326
528.0,Финансовые фишки и хитрости,1790,76,1256
88.0,Недвига,1706,75,1113
11440.0,Субботний вопрос-ответ,1323,58,1211
170.0,"Облигации, ОФЗшечки наши",1300,75,783
690.0,Доп.доход и подработки,1061,73,706
7144.0,Земля,914,57,663
5478.0,10 тысяч шагов,907,28,258
95.0,Живые встречи в разных городах,637,71,425
147.0,ТОРГИ по банкротству,545,43,364
94.0,КРИПТА,406,67,218
8790.0,Мемчики,386,29,137
199.0,БАЛАНС И ВСЁ ТАКОЕ,369,42,216
5439.0,Детский уголок,360,45,257
92.0,Недвига зарубежом,322,22,151
294.0,Налоги,283,47,199
4787.0,Прокачиваем THREADS,247,16,104
19653.0,Радости месяца,236,51,201
1480.0,ИИ для инвесторов,187,25,90
7924.0,Загородная недвига,98,17,66
6542.0,Расширяем кругозор,98,23,69
,Без темы,38,13,3
27462.0,Проект «La Dacha»,31,5,30
107.0,ФинПрокачка,15,4,5
14461.0,Глобально,8,2,2
4800.0,НОВИЧКАМ! Как здесь всё устроено,1,1,0
