week_start,messages,active_people,replies,active_topics,owner_admin_messages,reactions_added
2026-01-05,105,14,45,12,52,0.0
2026-01-12,1087,64,564,15,304,0.0
2026-01-19,918,64,536,12,195,0.0
2026-01-26,655,45,383,12,167,0.0
2026-02-02,686,50,361,13,192,0.0
2026-02-09,968,53,508,13,255,0.0
2026-02-16,1000,47,515,14,276,0.0
2026-02-23,524,37,179,14,192,0.0
2026-03-02,970,50,550,17,284,0.0
2026-03-09,1325,70,775,19,263,0.0
2026-03-16,1313,62,736,15,356,0.0
2026-03-23,795,58,399,18,194,0.0
2026-03-30,701,53,371,16,156,0.0
2026-04-06,1513,60,809,15,436,0.0
2026-04-13,948,55,529,17,221,0.0
2026-04-20,868,50,465,16,217,0.0
2026-04-27,742,47,442,13,109,0.0
2026-05-04,503,49,263,12,100,0.0
2026-05-11,504,42,242,12,136,0.0
2026-05-18,1107,43,490,13,273,0.0
2026-05-25,601,42,345,18,113,0.0
2026-06-01,610,66,504,15,61,823.0
2026-06-08,700,66,699,17,63,1502.0
2026-06-15,849,57,849,14,57,1591.0
2026-06-22,548,63,542,17,92,1360.0
2026-06-29,1430,60,1425,15,75,2764.0
2026-07-06,776,53,773,14,44,1845.0
2026-07-13,666,52,664,14,58,1615.0
2026-07-20,1279,55,1275,15,191,2571.0
2026-07-27,658,55,656,13,100,1432.0
